Anzahl Karten;Druchmischen;
2;1;
4;2;
6;4;
8;3;
10;6;
12;10;
14;12;
16;4;
18;8;
20;18;
22;6;
24;11;
26;20;
28;18;
30;28;
32;5;
34;10;
36;12;
38;36;
40;12;
42;20;
44;14;
46;12;
48;23;
50;21;
52;8;
54;52;
56;20;
58;18;
60;58;
62;60;
64;6;
66;12;
68;66;
70;22;
72;35;
74;9;
76;20;
78;30;
80;39;
82;54;
84;82;
86;8;
88;28;
90;11;
92;12;
94;10;
96;36;
98;48;
100;30;
102;100;
104;51;
106;12;
108;106;
110;36;
112;36;
114;28;
116;44;
118;12;
120;24;
122;110;
124;20;
126;100;
128;7;
130;14;
132;130;
134;18;
136;36;
138;68;
140;138;
142;46;
144;60;
146;28;
148;42;
150;148;
152;15;
154;24;
156;20;
158;52;
160;52;
162;33;
164;162;
166;20;
168;83;
170;156;
172;18;
174;172;
176;60;
178;58;
180;178;
182;180;
184;60;
186;36;
188;40;
190;18;
192;95;
194;96;
196;12;
198;196;
200;99;
202;66;
204;84;
206;20;
208;66;
210;90;
212;210;
214;70;
216;28;
218;15;
220;18;
222;24;
224;37;
226;60;
228;226;
230;76;
232;30;
234;29;
236;92;
238;78;
240;119;
242;24;
244;162;
246;84;
248;36;
250;82;
252;50;
254;110;
256;8;
258;16;
260;36;
262;84;
264;131;
266;52;
268;22;
270;268;
272;135;
274;12;
276;20;
278;92;
280;30;
282;70;
284;94;
286;36;
288;60;
290;136;
292;48;
294;292;
296;116;
298;90;
300;132;
302;42;
304;100;
306;60;
308;102;
310;102;
312;155;
314;156;
316;12;
318;316;
320;140;
322;106;
324;72;
326;60;
328;36;
330;69;
332;30;
334;36;
336;132;
338;21;
340;28;
342;10;
344;147;
346;44;
348;346;
350;348;
352;36;
354;88;
356;140;
358;24;
360;179;
362;342;
364;110;
366;36;
368;183;
370;60;
372;156;
374;372;
376;100;
378;84;
380;378;
382;14;
384;191;
386;60;
388;42;
390;388;
392;88;
394;130;
396;156;
398;44;
400;18;
402;200;
404;60;
406;108;
408;180;
410;204;
412;68;
414;174;
416;164;
418;138;
420;418;
422;420;
424;138;
426;40;
428;60;
430;60;
432;43;
434;72;
436;28;
438;198;
440;73;
442;42;
444;442;
446;44;
448;148;
450;224;
452;20;
454;30;
456;12;
458;76;
460;72;
462;460;
464;231;
466;20;
468;466;
470;66;
472;52;
474;70;
476;180;
478;156;
480;239;
482;36;
484;66;
486;48;
488;243;
490;162;
492;490;
494;56;
496;60;
498;105;
500;166;
